iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
17.0,-0.12282463908195496,-1.546021676343202,-0.21182215236075008,0.0,-0.12282463908195496,-0.033369901693529554,-0.25418658283290013,0.0,-0.15902079641819,0.143663689494133,2.5081018160787532e-52,-0.25418658283290013,0.0,-0.15124669671058655,-0.14128948748111725
18.0,-0.12391863018274307,-1.4878456125893424,-0.21405185922770537,0.0,-0.12391863018274307,-0.039378753226054344,-0.25418658283290013,0.0,-0.14361059665679932,-0.14753808081150055,2.225820474393031e-51,-0.25418658283290013,0.0,-0.15829500555992126,-0.14278408885002136
19.0,-0.12543998658657074,-1.355083265428893,-0.2160585954079651,0.0,-0.12543998658657074,-0.04487255476415157,-0.25418658283290013,0.0,-0.15434572100639343,-0.14925478398799896,9.381429194576559e-57,-0.25418658283290013,0.0,-0.15684862434864044,-0.13032104074954987
20.0,-0.12728846073150635,-1.3692938474755456,-0.21787421385677153,0.0,-0.12728846073150635,-0.04993734295879092,-0.25418658283290013,0.0,-0.1642577201128006,-0.15123310685157776,3.6288593967940055e-62,-0.25418658283290013,0.0,-0.15345796942710876,-0.14538951218128204
21.0,-0.12826569378376007,-1.3299044407761569,-0.21952477608295917,0.0,-0.12826569378376007,-0.05450461093675007,-0.25418658283290013,0.0,-0.14878776669502258,-0.1504172384738922,1.2714888104076725e-67,-0.25418658283290013,0.0,-0.1495085507631302,-0.14958134293556213
22.0,-0.1293216347694397,0.3659582565892676,-0.22103181115904355,0.0,-0.1293216347694397,-0.04640092117630917,-0.25418658283290013,0.0,-0.15255239605903625,0.1318802535533905,4.640569704309769e-73,0.0,0.0,0.10997364670038223,0.15658527612686157
23.0,-0.12992337346076965,0.21295206469023442,-0.2224132599787876,0.0,-0.12992337346076965,-0.039867667170862355,-0.25418658283290013,0.0,-0.14376327395439148,0.11039717495441437,2.284768541524571e-72,0.0,0.0,-0.13637763261795044,0.18057651817798615
24.0,-0.13084574043750763,-0.01876023702390471,-0.2236841928929521,0.0,-0.13084574043750763,-0.04337682634592056,-0.25418658283290013,0.0,-0.15298238396644592,-0.1275966465473175,3.842501059638718e-72,-0.25418658283290013,0.0,-0.1328003704547882,0.12740056216716766
25.0,-0.13152779638767242,-1.1927413210031483,-0.22485736173679627,0.0,-0.13152779638767242,-0.04737779698692835,-0.25418658283290013,0.0,-0.14857912063598633,-0.1474020630121231,4.389505637960158e-77,-0.25418658283290013,0.0,-0.15458102524280548,-0.15941764414310455
26.0,-0.13295449316501617,-1.032360713108447,-0.2259436291848001,0.0,-0.13295449316501617,-0.05083665279326616,-0.25418658283290013,0.0,-0.17004887759685516,-0.140766903758049,1.8627221217618828e-82,-0.25418658283290013,0.0,-0.1555836796760559,-0.127517431974411
27.0,-0.13319875299930573,-1.1342502594034398,-0.22695230610080366,0.0,-0.13319875299930573,-0.05412274572466101,-0.25418658283290013,0.0,-0.13979341089725494,-0.14284725487232208,1.101440866430321e-87,-0.25418658283290013,0.0,-0.1550491750240326,-0.16350670158863068
28.0,-0.13372115790843964,-1.1118635972135844,-0.2278914190915656,0.0,-0.13372115790843964,-0.05801055991444094,-0.25418658283290013,0.0,-0.1483488529920578,-0.1668693572282791,5.869485703362574e-93,-0.25418658283290013,0.0,-0.14868934452533722,-0.1684507429599762
29.0,-0.13468725979328156,-0.012669856377753586,-0.2287679245496101,0.0,-0.13468725979328156,-0.05147402609388033,-0.25418658283290013,0.0,-0.16270430386066437,0.13808545470237732,9.41034590418145e-99,-0.25418658283290013,0.0,-0.1251603066921234,0.13243386149406433
30.0,-0.13511602580547333,-0.9885076053629116,-0.2295878812684259,0.0,-0.13511602580547333,-0.05426572287274945,-0.25418658283290013,0.0,-0.14797893166542053,-0.13801662623882294,6.318598038869043e-98,-0.25418658283290013,0.0,-0.16583707928657532,-0.14510342478752136
31.0,-0.13595163822174072,-0.9679785517487045,-0.23035659069231573,0.0,-0.13595163822174072,-0.04962684796191752,-0.25418658283290013,0.0,-0.16185538470745087,0.09417827427387238,4.287018518471194e-103,-0.25418658283290013,0.0,-0.1640140563249588,-0.147257000207901
32.0,-0.13625043630599976,0.3165824190866856,-0.23107871166627283,0.0,-0.13625043630599976,-0.04452814816525488,-0.25418658283290013,0.0,-0.14581215381622314,0.11863024532794952,3.204337052173462e-103,0.0,0.0,0.13139906525611877,0.15873238444328308
33.0,-0.13695299625396729,-0.038686097217848714,-0.2317583549358795,0.0,-0.13695299625396729,-0.03998249506249147,-0.25418658283290013,0.0,-0.1601373851299286,0.11002405732870102,8.1337127113255e-103,-0.25418658283290013,0.0,-0.16843776404857635,0.14239880442619324
34.0,-0.13782532513141632,-0.8903661877863395,-0.23239916144722297,0.0,-0.13782532513141632,-0.04280044393880027,-0.25418658283290013,0.0,-0.16748473048210144,-0.13861070573329926,1.3426365572089813e-102,-0.25418658283290013,0.0,-0.1596444994211197,-0.14579994976520538
35.0,-0.13798987865447998,-0.8743672639120791,-0.23300436759682513,0.0,-0.13798987865447998,-0.037979856547382146,-0.25418658283290013,0.0,-0.14374907314777374,0.1307407021522522,8.842861577404248e-108,-0.25418658283290013,0.0,-0.14006152749061584,-0.15406285226345062
36.0,-0.13777433335781097,-0.05671083020541745,-0.23357685990050286,0.0,-0.13777433335781097,-0.04079424005907935,-0.25418658283290013,0.0,-0.1300150752067566,-0.14211204648017883,4.112621035311516e-107,-0.25418658283290013,0.0,-0.15215614438056946,0.13394048810005188
37.0,-0.13805115222930908,-0.7446358538173082,-0.2341192210303028,0.0,-0.13805115222930908,-0.03651824554330424,-0.25418658283290013,0.0,-0.14829318225383759,0.12169355154037476,2.2736436747698577e-112,-0.25418658283290013,0.0,-0.13467368483543396,-0.12276566028594971
38.0,-0.1388799548149109,-0.06826956061397134,-0.23463376876883096,0.0,-0.1388799548149109,-0.039411951716129594,-0.25418658283290013,0.0,-0.17037491500377655,-0.14937278628349304,6.72654248318633e-112,-0.25418658283290013,0.0,-0.1568477898836136,0.13320116698741913
39.0,-0.13916118443012238,-0.09025673297861418,-0.23512258912043263,0.0,-0.13916118443012238,-0.035370709002017976,-0.25418658283290013,0.0,-0.15012870728969574,0.12223775684833527,2.5866081310255398e-117,-0.25418658283290013,0.0,-0.15902690589427948,0.12643758952617645
40.0,-0.13991039991378784,-0.7406448755287555,-0.23558756457683427,0.0,-0.13991039991378784,-0.03135111346477416,-0.25418658283290013,0.0,-0.16987937688827515,0.12943270802497864,7.863527191879926e-117,-0.25418658283290013,0.0,-0.13688404858112335,-0.13790881633758545
41.0,-0.14014294743537903,-0.7660020586720545,-0.23603039834483588,0.0,-0.14014294743537903,-0.034493862163452876,-0.25418658283290013,0.0,-0.14967738091945648,-0.1633465588092804,3.4256305816021313e-116,-0.25418658283290013,0.0,-0.15523597598075867,-0.14653918147087097
42.0,-0.1406298726797104,-0.7999091620989182,-0.23645263519339552,0.0,-0.1406298726797104,-0.03027762437975684,-0.25418658283290013,0.0,-0.1610807478427887,0.14680436253547668,6.550020527978041e-122,-0.25418658283290013,0.0,-0.16932234168052673,-0.16060040891170502
43.0,-0.14102977514266968,-0.05994374109937038,-0.23685567945792974,0.0,-0.14102977514266968,-0.03298219496553594,-0.25418658283290013,0.0,-0.15822532773017883,-0.14927873015403748,6.801214624386432e-121,-0.25418658283290013,0.0,-0.1403619796037674,0.1340070515871048
44.0,-0.1413356363773346,-0.7149308682479103,-0.2372408106440402,0.0,-0.1413356363773346,-0.029230065478218926,-0.25418658283290013,0.0,-0.15479305386543274,0.13586363196372986,2.6276506939787554e-126,-0.25418658283290013,0.0,-0.16073451936244965,-0.13968338072299957
45.0,-0.14154675602912903,-0.6757569191035041,-0.23760919699597197,0.0,-0.14154675602912903,-0.032119991986647896,-0.25418658283290013,0.0,-0.15104717016220093,-0.16216668486595154,1.5788341263182774e-125,-0.25418658283290013,0.0,-0.11206795275211334,-0.14920635521411896
46.0,-0.14199142158031464,-0.7060359468299884,-0.23796190733292788,0.0,-0.14199142158031464,-0.02911017581503442,-0.25418658283290013,0.0,-0.1624458134174347,0.10934136807918549,3.202279803040341e-131,-0.25418658283290013,0.0,-0.14890272915363312,-0.15166258811950684
