iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
10.0,5.2108337496492,-2.225196016041883,-0.2113202667272728,0.031698040009090926,0.11351622182727274,-0.197310209274292,-0.03905486383221366,0.28027146529744973,-0.38742048900000015,0.0,0.0,-0.4644598364830017,-0.09057753533124924,-0.019637253135442734,2.8666821215867123e-52,30.000000000000004,0.0,0.0,0.0,0.12727805972099304,-0.18885698914527893,0.06537109613418579
11.0,4.657719702459872,-2.8151783030013666,-0.19371024450000007,0.02905653667500001,0.10405653667500002,-0.18728820979595184,-0.02328216036160787,0.2615002637418608,0.0,0.0,0.0,-0.07704611122608185,0.15021757781505585,0.05501704663038254,1.2257539242380692e-51,30.0,0.0,0.0,0.0,-0.09926754236221313,-0.21733848750591278,0.052224159240722656
12.0,4.170194987780772,-0.46463603714380375,-0.17880945646153854,0.026821418469230782,0.09605218770000001,-0.16357064247131348,-0.034475984481664806,0.2444588543417362,0.0,0.0,0.0,0.12104006111621857,-0.16880187392234802,0.03996194154024124,2.1238750846944547e-47,30.0,0.0,0.0,0.0,-0.13648124039173126,0.1783258616924286,0.058874767273664474
13.0,3.7689258778201684,-3.7340930961171424,-0.16603735242857148,0.024905602864285725,0.08919131715000002,-0.13975754380226135,-0.04691694251128605,0.23028944738741433,0.0,0.0,0.0,0.16981270909309387,-0.2086493968963623,0.04608715698122978,9.233210268857548e-50,30.0,0.0,0.0,0.0,0.12988175451755524,0.16636011004447937,-0.08159074932336807
14.0,3.354641783982515,-4.066410499448287,-0.15496819560000005,0.02324522934000001,0.08324522934000002,-0.16228125989437103,-0.04932609051465988,0.21723076812922953,0.0,0.0,0.0,-0.4776131510734558,-0.08305416256189346,0.034409258514642715,4.0298710634124913e-53,29.999999999999996,0.0,0.0,0.0,-0.47257089614868164,-0.08166315406560898,-0.01943560317158699
15.0,2.887502469588071,-4.220655540366587,-0.16949646393750006,0.02179240250625001,0.07804240250625001,-0.18139708042144775,-0.04095759755000472,0.20229665166698396,-0.38742048900000015,0.0,0.0,-0.46813446283340454,0.08456979691982269,-0.02171509526669979,1.6829754489467478e-53,30.000000000000004,-0.38742048900000015,0.0,0.0,-0.457040935754776,-0.09661416709423065,-0.023637104779481888
16.0,2.4591937293024624,-2.604558661545983,-0.15952608370588242,0.0205104964764706,0.07345167294705883,-0.16332371532917023,-0.04999755717375699,0.18741724815438776,0.0,0.0,0.0,0.12585026025772095,-0.19463691115379333,-0.050653208047151566,5.0757158277258e-49,30.0,-0.38742048900000015,0.0,0.0,-0.4562097191810608,-0.08643309772014618,0.0384381040930748
17.0,2.0748442436257997,-4.8696863905319825,-0.17218688400000007,0.01937102445000001,0.06937102445000001,-0.1803121268749237,-0.052524101403024465,0.1751718790166908,-0.38742048900000015,0.0,0.0,-0.46911516785621643,-0.09547535330057144,-0.032999396324157715,5.628638044193864e-50,30.000000000000004,0.0,0.0,0.0,0.13296878337860107,-0.20143482089042664,-0.056407295167446136
18.0,1.7265074053093008,-0.8354274993135409,-0.1631244164210527,0.01835149684736843,0.06571991790000001,-0.1962312012910843,-0.046531516862543004,0.1640912868866795,0.0,0.0,0.0,-0.4827745854854584,0.0613350048661232,-0.035359371453523636,3.674748006399849e-49,30.0,0.0,0.0,0.0,-0.09155766665935516,0.14209428429603577,0.05902015045285225
19.0,1.3709247689694164,-2.175873787408882,-0.15496819560000005,0.01743392200500001,0.06243392200500001,-0.17856979370117188,-0.037475521489977834,0.15164981875568628,0.0,0.0,0.0,0.1569969356060028,0.13458839058876038,-0.08473807573318481,6.861067244469646e-45,30.0,0.0,0.0,0.0,0.1132863312959671,-0.1923409402370453,0.0455397367477417
20.0,1.1761575884052684,-3.0736822632793697,-0.14758875771428576,0.01660373524285715,0.05946087810000001,-0.19186322391033173,-0.031806985182421546,0.14560069374385334,0.0,0.0,0.0,-0.4577316343784332,0.08156374096870422,0.02461819350719452,5.894918271004038e-38,30.0,0.0,0.0,0.0,-0.4674062132835388,-0.1025935560464859,0.020817730575799942
21.0,0.9884593896567819,-1.058116043528541,-0.1584902000454546,0.015849020004545463,0.05675811091363637,-0.20492792129516602,-0.026788265190341255,0.1397795770317316,-0.38742048900000015,0.0,0.0,-0.47928673028945923,0.07860485464334488,0.01753612607717514,1.5083670938119917e-34,29.999999999999996,0.0,0.0,0.0,0.14537861943244934,0.15524867177009583,0.04250984638929367
22.0,0.7070304709284199,-5.035357801609387,-0.15159932178260876,0.015159932178260876,0.05429036696086957,-0.19017650187015533,-0.03284244628056236,0.12990689909328584,0.0,0.0,0.0,0.13435477018356323,-0.16603443026542664,-0.08729201555252075,4.743184853973464e-31,30.0,0.0,0.0,0.0,0.1551724374294281,-0.21558460593223572,-0.06441192328929901
23.0,0.491147789172828,-4.246484098945453,-0.16142520375000005,0.014528268337500006,0.05202826833750001,-0.20104117691516876,-0.035602947076161705,0.12307296553626657,-0.38742048900000015,0.0,0.0,-0.4509292244911194,-0.0990944653749466,-0.034107506275177,1.37300667934855e-30,30.0,0.0,0.0,0.0,-0.4686529040336609,-0.09441131353378296,-0.025092432275414467
24.0,0.4699599996209145,-4.689066299495497,-0.15496819560000005,0.013947137604000006,0.049947137604000005,-0.1979602426290512,-0.041473914980888364,0.12226400807499886,0.0,0.0,0.0,-0.12401770055294037,-0.1823771446943283,0.10284902900457382,7.906261469145158e-30,30.000000000000004,0.0,0.0,0.0,-0.12374253571033478,0.13268223404884338,-0.07824007421731949
25.0,0.2747909441017188,0.02077198395110824,-0.163908668423077,0.013410709234615391,0.04802609385000001,-0.2085404098033905,-0.043438244897585646,0.11611104513017032,-0.38742048900000015,0.0,0.0,-0.473044216632843,-0.0925464928150177,-0.037713028490543365,7.513389711022339e-34,30.0,0.0,0.0,0.0,0.10078773647546768,0.15141341090202332,0.08760093152523041
26.0,0.11420491875873667,-3.8312721343074787,-0.15783797700000005,0.012914016300000006,0.04624734963333334,-0.21797460317611694,-0.04423740947688067,0.11107265073116179,0.0,0.0,0.0,-0.4632638394832611,-0.06501568853855133,-0.01992560364305973,7.18811102283544e-33,30.0,0.0,0.0,0.0,-0.133013516664505,0.1550595611333847,-0.04617417976260185
27.0,-0.038134527791823886,-4.091343093239008,-0.1522009063928572,0.012452801432142863,0.04459565857500001,-0.22726549208164215,-0.04591484474284308,0.10630436547632728,0.0,0.0,0.0,-0.47811922430992126,-0.09120559692382812,-0.02243933640420437,1.1193565190333455e-31,30.000000000000004,-0.38742048900000015,0.0,0.0,-0.4749525189399719,-0.08784882724285126,-0.01988094486296177
28.0,-0.18716606138081401,-2.792649562115063,-0.14695259927586213,0.012023394486206903,0.04305787724482759,-0.21682675182819366,-0.0493151704812872,0.10098868968157933,0.0,0.0,0.0,0.07545790076255798,-0.14452429115772247,-0.04785023257136345,5.335811370535481e-31,30.0,-0.38742048900000015,0.0,0.0,-0.4612857401371002,-0.07964775711297989,0.026538977399468422
29.0,-12.22596961259842,-2.9173909629836756,-0.14205417930000006,0.011622614670000005,0.04162261467000001,-0.2259696125984192,-0.05018032143513362,0.09685050149758657,0.0,0.0,0.0,-0.491112619638443,-0.07526969909667969,-0.02315695583820343,6.301186999827689e-31,30.0,0.0,0.0,0.0,-0.46448755264282227,-0.09469251334667206,0.02322118729352951
