iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
0.0,5.187001049518585,-3.762937441468239,0.0,0.0,0.0,0.13741132616996765,0.16831965744495392,-0.05835453420877457,0.0,0.0,0.0,0.13741132616996765,0.16831965744495392,-0.05835453420877457,10.0,10.0,0.0,0.0,0.0,0.13741132616996765,0.16831965744495392,-0.05835453420877457
1.0,0.934682697057724,-5.70395267198631,0.0,0.0,0.0,-0.167522594332695,0.036740176379680634,-0.09821164980530739,0.0,0.0,0.0,-0.47245651483535767,-0.09483930468559265,-0.1380687654018402,29.999997581847218,2.4181390973767916e-06,0.0,0.0,0.0,0.14207321405410767,-0.18803738057613373,0.08294430375099182
2.0,28.085870139300823,-0.05081288664268113,0.0,0.11622614670000005,0.4162261467000001,-0.08269792050123215,-0.022186070680618286,1.0389522686600685,0.0,0.34867844010000015,1.2486784401000002,0.08695142716169357,-0.14003856480121613,3.3132801055908203,29.999999998123744,1.876260312051604e-09,-0.38742048900000015,0.0,0.0,-0.4639018476009369,0.08457668125629425,0.03188995644450188
3.0,19.9715379755944,-4.273091168910242,-0.09685512225000004,0.08716961002500004,0.31216961002500004,-0.1859564185142517,-0.034859003499150276,0.7719164798036218,-0.38742048900000015,0.0,0.0,-0.4957318902015686,-0.07287780195474625,-0.02919088676571846,7.320819287192321e-62,30.0,-0.38742048900000015,0.0,0.0,-0.4640575051307678,-0.08769184350967407,-0.02744263783097267
4.0,14.986570969223978,-1.5385033109981854,-0.07748409780000003,0.06973568802000003,0.24973568802000004,-0.12105671316385269,-8.98316502571106e-05,0.6035875894129277,0.0,0.0,0.0,0.13854210078716278,0.13898685574531555,-0.06972797214984894,1.222877026250563e-60,30.0,0.0,0.0,0.0,-0.10889828205108643,0.12623584270477295,-0.07120762020349503
5.0,11.756131744012237,-5.187029030031461,-0.12914016300000006,0.05811307335000002,0.20811307335000004,-0.17877863347530365,0.013022322207689285,0.49783034591625136,-0.38742048900000015,0.0,0.0,-0.46738821268081665,0.07858309149742126,-0.03095587156713009,6.180734636003286e-54,29.999999999999996,0.0,0.0,0.0,0.13497258722782135,-0.16270361840724945,-0.06542756408452988
6.0,9.954148614513022,-3.345489590055445,-0.11069156828571433,0.04981120572857145,0.17838263430000004,-0.1302604228258133,-0.02063803481204169,0.43614696791129454,0.0,0.0,0.0,0.16084882616996765,-0.22260017693042755,0.06604669988155365,2.1934152978290984e-49,30.0,0.0,0.0,0.0,-0.10085640847682953,-0.16205479204654694,0.0433184839785099
7.0,8.547469459008425,-5.161100174797031,-0.14528268337500005,0.04358480501250002,0.15608480501250002,-0.09567410498857498,-0.040407861582934856,0.3881047854665667,-0.38742048900000015,0.0,0.0,0.146430104970932,-0.178796648979187,0.051809508353471756,1.7567339189399795e-53,30.0,0.0,0.0,0.0,-0.11164376884698868,-0.17637623846530914,-0.050308216363191605
8.0,7.12717138354977,-2.501467988858525,-0.17218688400000007,0.03874204890000002,0.13874204890000003,-0.13767436146736145,-0.04649488959047529,0.3421615248339044,-0.38742048900000015,0.0,0.0,-0.4736763536930084,-0.0951911136507988,-0.025384560227394104,2.5622960973382838e-56,30.0,0.0,0.0,0.0,0.11783838272094727,0.16581591963768005,-0.06410984694957733
9.0,6.13727487064898,-4.479404675408187,-0.19371024450000007,0.03486784401000002,0.12486784401000002,-0.17059524357318878,-0.033902596682310104,0.310262337140739,-0.38742048900000015,0.0,0.0,-0.46688312292099,0.0794280394911766,0.02316964790225029,1.1595024670132284e-55,30.0,0.0,0.0,0.0,0.11996141821146011,-0.1558806449174881,-0.041281890124082565
