iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
0.0,0.11504173278808594,-4.478050857782364,0.0,0.0,0.11504173278808594,-0.20620617270469666,0.0,0.0,0.11504173278808594,-0.20620617270469666,15.0,0.0,0.0,0.11504173278808594,-0.20620617270469666
1.0,-0.17514446377754211,-1.9107684762783443,0.0,0.0,-0.17514446377754211,-0.05851059779524803,0.0,0.0,-0.46533066034317017,0.08918497711420059,6.728815196552e-06,0.0,0.0,-0.47209692001342773,-0.0918227881193161
2.0,-0.2721073031425476,-0.5483972895343923,-0.12914016300000006,0.0,-0.2721073031425476,-0.07087272653977077,-0.38742048900000015,0.0,-0.4660329818725586,-0.09559698402881622,3.9182613783828205e-06,-0.38742048900000015,0.0,-0.4618768095970154,0.08269591629505157
3.0,-0.32300686836242676,-0.5502030821893714,-0.09685512225000004,0.0,-0.32300686836242676,-0.07478955946862698,0.0,0.0,-0.4757055342197418,-0.08654005825519562,2.2169654150596434e-10,-0.38742048900000015,0.0,-0.4779869616031647,0.08074238151311874
4.0,-0.35265570878982544,-1.0748443055545946,-0.15496819560000005,0.0,-0.35265570878982544,-0.0784501850605011,-0.38742048900000015,0.0,-0.47125115990638733,-0.09309268742799759,1.972845249499073e-14,-0.38742048900000015,0.0,-0.4739723801612854,-0.10029049962759018
5.0,-0.37258780002593994,-0.9699846462508536,-0.12914016300000006,0.0,-0.37258780002593994,-0.07986201842625935,0.0,0.0,-0.4722481369972229,-0.08692118525505066,1.2651400030833355e-18,-0.38742048900000015,0.0,-0.4670508801937103,-0.10117336362600327
6.0,-0.38562607765197754,-0.4855756338686789,-0.11069156828571433,0.0,-0.38562607765197754,-0.08070798218250275,0.0,0.0,-0.4638558328151703,-0.08578376471996307,1.1045785943500288e-22,-0.38742048900000015,0.0,-0.4699057936668396,0.09268741309642792
7.0,-0.3959282636642456,-0.8454739588247874,-0.14528268337500005,0.0,-0.3959282636642456,-0.060193696059286594,-0.38742048900000015,0.0,-0.46804332733154297,0.08340630680322647,1.0208300140263081e-26,-0.38742048900000015,0.0,-0.4719408452510834,-0.09921751916408539
8.0,-0.4030970335006714,-0.7896509460710606,-0.12914016300000006,0.0,-0.4030970335006714,-0.04608935034937329,0.0,0.0,-0.4604470133781433,0.06674541532993317,4.452725892654102e-27,-0.38742048900000015,0.0,-0.4723639488220215,-0.09037206321954727
9.0,-0.4097323417663574,-0.7515384568574505,-0.15496819560000005,0.0,-0.4097323417663574,-0.033168911933898926,-0.38742048900000015,0.0,-0.4694503843784332,0.08311503380537033,8.443292408021557e-28,-0.38742048900000015,0.0,-0.4578055739402771,-0.09582178294658661
10.0,-0.41490572690963745,-0.7436337429716404,-0.14088017781818188,0.0,-0.41490572690963745,-0.03767508877949281,0.0,0.0,-0.46663960814476013,-0.08273685723543167,3.6296056954942294e-28,-0.38742048900000015,0.0,-0.47177228331565857,-0.09936492890119553
11.0,-0.41892609000205994,-0.700687324891808,-0.12914016300000006,0.0,-0.41892609000205994,-0.04199099292357763,0.0,0.0,-0.4631500840187073,-0.08946593850851059,3.906420684385177e-32,-0.38742048900000015,0.0,-0.46677008271217346,-0.08713366091251373
12.0,-0.4224686920642853,-0.6567322108815856,-0.14900788038461543,0.0,-0.4224686920642853,-0.032729016473660104,-0.38742048900000015,0.0,-0.464979887008667,0.07841470092535019,3.0031597227064892e-36,0.0,0.0,-0.46518316864967346,-0.0660090520977974
13.0,-0.4254510700702667,-0.6570265577101485,-0.16603735242857148,0.0,-0.4254510700702667,-0.024274525365659168,-0.38742048900000015,0.0,-0.46422210335731506,0.08563385903835297,1.0206095242030128e-36,-0.38742048900000015,0.0,-0.4745674133300781,-0.07029508054256439
14.0,-0.4278515875339508,-0.47283418260289145,-0.18079622820000008,0.0,-0.4278515875339508,-0.01749797115723292,-0.38742048900000015,0.0,-0.46145862340927124,0.07737378776073456,4.976257320805812e-37,0.0,0.0,-0.4632855951786041,0.09045141935348511
15.0,-0.4308236837387085,-0.4985119396213275,-0.16949646393750006,0.0,-0.4308236837387085,-0.021179071627557278,0.0,0.0,-0.4754049777984619,-0.07639557868242264,1.6053911828492492e-37,-0.38742048900000015,0.0,-0.4652712941169739,0.06454333662986755
16.0,-0.43276095390319824,-0.48912596616011933,-0.18231552423529418,0.0,-0.43276095390319824,-0.015060596606310676,-0.38742048900000015,0.0,-0.46375709772109985,0.08283500373363495,2.3724635607445324e-41,-0.38742048900000015,0.0,-0.4712049067020416,0.07968948036432266
17.0,-0.43490904569625854,-0.6408246223455725,-0.17218688400000007,0.0,-0.43490904569625854,-0.01975813839170668,0.0,0.0,-0.4714270532131195,-0.09961634874343872,1.0056952355936801e-41,0.0,0.0,-0.47437533736228943,-0.09973900020122528
18.0,-0.4364193379878998,-0.6171870285074713,-0.1835149684736843,0.0,-0.4364193379878998,-0.02423037549382762,-0.38742048900000015,0.0,-0.46360474824905396,-0.10473064333200455,4.654279443727463e-46,-0.38742048900000015,0.0,-0.46491700410842896,-0.09287522733211517
19.0,-0.4379517138004303,-0.4793117546957278,-0.17433922005000008,0.0,-0.4379517138004303,-0.018808212876319886,0.0,0.0,-0.46706676483154297,0.08421287685632706,1.667949974580645e-50,-0.38742048900000015,0.0,-0.46494260430336,0.08084114640951157
20.0,-0.43917116522789,-0.6048503022681346,-0.1844859471428572,0.0,-0.43917116522789,-0.02223991815532957,-0.38742048900000015,0.0,-0.46356016397476196,-0.09087402373552322,7.574779545279997e-51,0.0,0.0,-0.4647170603275299,-0.09618639945983887
21.0,-0.4408320188522339,-0.6509295942180293,-0.17610022227272734,0.0,-0.4408320188522339,-0.025421113791790875,0.0,0.0,-0.47570982575416565,-0.09222622215747833,5.427417559442882e-55,-0.38742048900000015,0.0,-0.6371287107467651,0.07975871860980988
22.0,-0.4422690272331238,-0.6066937495589215,-0.1852880599565218,0.0,-0.4422690272331238,-0.020689949069334114,-0.38742048900000015,0.0,-0.4738834500312805,0.08339567482471466,3.6345768610319512e-59,0.0,0.0,-0.47748488187789917,-0.09812012314796448
23.0,-0.4429665505886078,-0.5778104933681351,-0.19371024450000007,0.0,-0.4429665505886078,-0.016614205824832123,-0.38742048900000015,0.0,-0.45900973677635193,0.07712788879871368,1.5845119446838433e-59,0.0,0.0,-0.46881088614463806,-0.07439924776554108
24.0,-0.44357922673225403,-0.5683843829741579,-0.18596183472000008,0.0,-0.44357922673225403,-0.019902405738830568,0.0,0.0,-0.45828336477279663,-0.09881920367479324,5.049332071681372e-60,0.0,0.0,-0.46306857466697693,-0.07552622258663177
